TIME	INTERVALO	Abertura Valvula
505.000	1.000	60.625710
506.000	1.000	60.625710
507.000	1.000	57.517231
508.000	1.000	56.041683
509.000	1.000	54.810669
510.000	1.000	54.810669
511.000	1.000	54.810669
512.000	1.000	54.038883
513.000	1.000	52.577507
514.000	1.000	52.577507
515.000	1.000	51.351810
516.000	1.000	49.432491
517.000	1.000	49.432491
518.000	1.000	49.432491
519.000	1.000	49.432491
520.000	1.000	49.432491
521.000	1.000	45.290436
522.000	1.000	45.290436
523.000	1.000	45.290436
524.000	1.000	45.223774
525.000	1.000	42.630482
526.000	1.000	42.743717
527.000	1.000	42.743717
528.000	1.000	40.775837
529.000	1.000	40.572857
530.000	1.000	38.976254
531.000	1.000	38.976254
532.000	1.000	38.976254
533.000	1.000	38.185669
534.000	1.000	38.185669
535.000	1.000	37.360607
536.000	1.000	37.360607
537.000	1.000	36.419941
538.000	1.000	36.113392
539.000	1.000	36.113392
540.000	1.000	35.079037
541.000	1.000	34.908318
542.000	1.000	34.596348
543.000	1.000	34.596348
544.000	1.000	33.914185
545.000	1.000	33.914185
546.000	1.000	33.914185
547.000	1.000	33.634399
548.000	1.000	33.634399
549.000	1.000	33.000004
550.000	1.000	33.299767
551.000	1.000	32.847321
552.000	1.000	32.847321
553.000	1.000	32.127689
554.000	1.000	32.942463
555.000	1.000	32.942463
556.000	1.000	31.885862
557.000	1.000	31.885862
558.000	1.000	31.885862
559.000	1.000	31.885862
560.000	1.000	31.885862
561.000	1.000	31.885862
562.000	1.000	31.437279
563.000	1.000	32.273697
564.000	1.000	32.273697
565.000	1.000	32.193531
566.000	1.000	32.010998
567.000	1.000	32.206093
568.000	1.000	32.206093
569.000	1.000	32.206093
570.000	1.000	32.240200
571.000	1.000	32.551910
572.000	1.000	33.332836
573.000	1.000	33.332836
574.000	1.000	33.332836
575.000	1.000	33.285309
576.000	1.000	32.975983
577.000	1.000	32.975983
578.000	1.000	32.975983
579.000	1.000	33.380116
580.000	1.000	33.380116
581.000	1.000	33.380116
582.000	1.000	33.107018
583.000	1.000	32.839561
584.000	1.000	32.929886
585.000	1.000	32.929886
586.000	1.000	33.262802
587.000	1.000	33.845829
588.000	1.000	33.845829
589.000	1.000	33.845829
590.000	1.000	34.607769
591.000	1.000	34.607769
592.000	1.000	34.797310
593.000	1.000	34.962940
594.000	1.000	34.962940
595.000	1.000	34.962940
596.000	1.000	35.336494
597.000	1.000	35.030533
598.000	1.000	35.030533
599.000	1.000	34.747673
600.000	1.000	35.257957
601.000	1.000	35.257957
602.000	1.000	35.257957
603.000	1.000	35.257957
604.000	1.000	35.782887
605.000	1.000	36.178028
606.000	1.000	36.178028
607.000	1.000	36.250053
608.000	1.000	36.250053
609.000	1.000	35.934616
610.000	1.000	35.934616
611.000	1.000	36.237442
612.000	1.000	36.235905
613.000	1.000	36.235905
614.000	1.000	36.235905
615.000	1.000	36.235905
616.000	1.000	36.235905
617.000	1.000	36.235905
618.000	1.000	36.235905
619.000	1.000	36.235905
620.000	1.000	36.235905
621.000	1.000	36.235905
622.000	1.000	36.235905
623.000	1.000	36.235905
624.000	1.000	36.235905
625.000	1.000	36.235905
626.000	1.000	36.235905
627.000	1.000	36.235905
628.000	1.000	36.235905
629.000	1.000	36.235905
630.000	1.000	36.235905
631.000	1.000	36.235905
632.000	1.000	36.235905
633.000	1.000	36.235905
634.000	1.000	36.235905
635.000	1.000	36.235905
636.000	1.000	36.235905
637.000	1.000	36.235905
638.000	1.000	36.235905
639.000	1.000	36.235905
640.000	1.000	36.235905
641.000	1.000	36.235905
642.000	1.000	36.235905
643.000	1.000	36.235905
644.000	1.000	36.235905
645.000	1.000	36.235905
646.000	1.000	36.235905
647.000	1.000	36.235905
648.000	1.000	36.235905
649.000	1.000	36.235905
650.000	1.000	36.235905
651.000	1.000	36.235905
652.000	1.000	36.235905
653.000	1.000	36.235905
654.000	1.000	36.235905
655.000	1.000	36.235905
656.000	1.000	36.235905
657.000	1.000	36.235905
658.000	1.000	36.235905
659.000	1.000	36.235905
660.000	1.000	36.235905
661.000	1.000	36.235905
662.000	1.000	36.235905
663.000	1.000	36.235905
664.000	1.000	36.235905
665.000	1.000	36.235905
666.000	1.000	36.235905
667.000	1.000	36.235905
668.000	1.000	36.235905
669.000	1.000	36.235905
670.000	1.000	36.235905
671.000	1.000	36.235905
672.000	1.000	36.235905
673.000	1.000	36.235905
674.000	1.000	36.235905
675.000	1.000	36.235905
676.000	1.000	36.235905
677.000	1.000	36.235905
678.000	1.000	36.235905
679.000	1.000	36.235905
680.000	1.000	36.235905
681.000	1.000	36.235905
682.000	1.000	36.235905
683.000	1.000	36.235905
684.000	1.000	36.235905
685.000	1.000	36.235905
686.000	1.000	36.235905
687.000	1.000	36.235905
688.000	1.000	36.235905
689.000	1.000	36.553848
690.000	1.000	36.246525
691.000	1.000	36.246525
692.000	1.000	36.246525
693.000	1.000	36.358665
694.000	1.000	36.326862
695.000	1.000	36.248577
696.000	1.000	36.248577
697.000	1.000	36.248577
698.000	1.000	36.248577
699.000	1.000	36.249424
700.000	1.000	36.249424
701.000	1.000	36.249424
702.000	1.000	36.249424
703.000	1.000	36.249424
704.000	1.000	36.249424
705.000	1.000	36.249424
706.000	1.000	36.249424
707.000	1.000	36.249424
708.000	1.000	36.249424
709.000	1.000	36.249424
710.000	1.000	36.483540
711.000	1.000	36.454308
712.000	1.000	36.454308
713.000	1.000	36.454308
714.000	1.000	36.260414
715.000	1.000	36.272667
716.000	1.000	36.533428
717.000	1.000	36.533428
718.000	1.000	36.279274
719.000	1.000	36.287571
720.000	1.000	36.287571
721.000	1.000	36.542225
722.000	1.000	36.542225
723.000	1.000	36.328232
724.000	1.000	36.575436
725.000	1.000	36.334789
726.000	1.000	36.334789
727.000	1.000	37.208893
728.000	1.000	37.236057
729.000	1.000	37.236057
730.000	1.000	36.740971
731.000	1.000	36.740971
732.000	1.000	37.172913
733.000	1.000	37.127949
734.000	1.000	37.127949
735.000	1.000	37.052570
736.000	1.000	36.655067
737.000	1.000	36.769653
738.000	1.000	36.769653
739.000	1.000	37.163902
740.000	1.000	36.603474
741.000	1.000	37.128162
742.000	1.000	37.128162
743.000	1.000	37.128162
744.000	1.000	36.628544
745.000	1.000	36.628544
746.000	1.000	36.628544
747.000	1.000	36.623730
748.000	1.000	37.603821
749.000	1.000	37.603821
750.000	1.000	37.603821
751.000	1.000	37.227081
752.000	1.000	37.249683
753.000	1.000	36.799873
754.000	1.000	36.799873
755.000	1.000	36.799873
756.000	1.000	36.799873
757.000	1.000	0.000000
758.000	1.000	0.000000
759.000	1.000	0.000000
760.000	1.000	0.000000
761.000	1.000	0.000000
762.000	1.000	0.000000
763.000	1.000	0.000000
764.000	1.000	0.000000
765.000	1.000	0.000000
766.000	1.000	0.000000
767.000	1.000	0.000000
768.000	1.000	0.000000
769.000	1.000	0.000000
770.000	1.000	0.000000
771.000	1.000	0.000000
772.000	1.000	0.000000
773.000	1.000	0.000000
774.000	1.000	0.000000
775.000	1.000	0.000000
776.000	1.000	0.000000
777.000	1.000	0.000000
778.000	1.000	0.000000
779.000	1.000	0.000000
780.000	1.000	0.000000
781.000	1.000	0.988412
782.000	1.000	5.747592
783.000	1.000	5.747592
784.000	1.000	11.244345
785.000	1.000	18.295658
786.000	1.000	26.392056
787.000	1.000	26.392056
788.000	1.000	26.392056
789.000	1.000	26.392056
790.000	1.000	26.392056
791.000	1.000	26.392056
792.000	1.000	26.392056
793.000	1.000	29.549324
794.000	1.000	29.549324
795.000	1.000	24.064148
796.000	1.000	24.064148
797.000	1.000	24.064148
798.000	1.000	19.559944
799.000	1.000	19.559944
800.000	1.000	19.559944
801.000	1.000	19.559944
802.000	1.000	16.883135
803.000	1.000	16.883135
804.000	1.000	16.883135
805.000	1.000	16.409742
806.000	1.000	15.184032
807.000	1.000	15.222824
808.000	1.000	15.222824
809.000	1.000	15.199816
810.000	1.000	14.992916
811.000	1.000	15.030098
812.000	1.000	15.030098
813.000	1.000	15.030098
814.000	1.000	15.030098
815.000	1.000	14.297998
816.000	1.000	14.768040
817.000	1.000	14.768040
818.000	1.000	14.919865
819.000	1.000	14.153183
820.000	1.000	14.153183
821.000	1.000	14.696110
822.000	1.000	14.393353
823.000	1.000	14.897001
824.000	1.000	14.897001
825.000	1.000	14.897001
826.000	1.000	14.897001
827.000	1.000	14.606833
828.000	1.000	14.797211
829.000	1.000	14.797211
830.000	1.000	15.295386
831.000	1.000	15.145469
832.000	1.000	15.120708
833.000	1.000	15.120708
834.000	1.000	14.807451
835.000	1.000	14.489770
836.000	1.000	14.489770
837.000	1.000	14.489770
838.000	1.000	14.661991
839.000	1.000	14.661991
840.000	1.000	14.315928
841.000	1.000	14.315928
842.000	1.000	14.901710
843.000	1.000	15.555716
844.000	1.000	15.929544
845.000	1.000	15.929544
846.000	1.000	15.751850
847.000	1.000	15.751850
848.000	1.000	15.751850
849.000	1.000	15.751850
850.000	1.000	15.751850
851.000	1.000	15.751850
852.000	1.000	15.751850
853.000	1.000	15.751850
854.000	1.000	15.751850
855.000	1.000	15.260256
856.000	1.000	15.190924
857.000	1.000	15.190924
858.000	1.000	16.229975
859.000	1.000	15.254402
860.000	1.000	15.254402
861.000	1.000	15.320385
862.000	1.000	15.320385
863.000	1.000	14.833223
864.000	1.000	14.554524
865.000	1.000	14.429808
866.000	1.000	14.429808
867.000	1.000	14.848351
868.000	1.000	15.296947
869.000	1.000	15.296947
870.000	1.000	15.296947
871.000	1.000	15.296947
872.000	1.000	16.141283
873.000	1.000	16.141283
874.000	1.000	16.141283
875.000	1.000	16.141283
876.000	1.000	14.752269
877.000	1.000	15.053463
878.000	1.000	15.053463
879.000	1.000	14.676714
880.000	1.000	14.676714
881.000	1.000	15.625393
882.000	1.000	15.625393
883.000	1.000	15.625393
884.000	1.000	16.158794
885.000	1.000	15.661610
886.000	1.000	15.699184
887.000	1.000	15.699184
888.000	1.000	15.076089
889.000	1.000	15.043962
890.000	1.000	15.371645
891.000	1.000	15.371645
892.000	1.000	15.888548
893.000	1.000	15.968251
894.000	1.000	15.968251
895.000	1.000	15.968251
896.000	1.000	15.728283
897.000	1.000	14.955163
898.000	1.000	14.955163
899.000	1.000	14.955163
900.000	1.000	15.445352
901.000	1.000	15.445352
902.000	1.000	15.091515
903.000	1.000	15.091515
904.000	1.000	14.580191
905.000	1.000	15.331018
906.000	1.000	15.331018
907.000	1.000	15.000570
908.000	1.000	15.000570
909.000	1.000	14.867485
910.000	1.000	14.867485
911.000	1.000	14.867485
912.000	1.000	14.867485
913.000	1.000	14.867485
914.000	1.000	14.295303
915.000	1.000	14.295303
916.000	1.000	15.623164
917.000	1.000	15.621555
918.000	1.000	15.621555
919.000	1.000	15.621555
920.000	1.000	15.621555
921.000	1.000	15.620708
922.000	1.000	15.619623
923.000	1.000	15.619623
924.000	1.000	15.619623
925.000	1.000	15.619623
926.000	1.000	15.619623
927.000	1.000	15.619623
928.000	1.000	15.619623
929.000	1.000	14.531636
930.000	1.000	14.531636
931.000	1.000	15.258705
932.000	1.000	15.239346
933.000	1.000	15.239346
934.000	1.000	15.496910
935.000	1.000	15.375864
936.000	1.000	15.375864
937.000	1.000	15.404856
938.000	1.000	15.478563
939.000	1.000	15.478563
940.000	1.000	15.478563
941.000	1.000	15.478563
942.000	1.000	15.478563
943.000	1.000	15.478563
944.000	1.000	15.478563
945.000	1.000	15.478563
946.000	1.000	15.478563
947.000	1.000	15.478563
948.000	1.000	15.478563
949.000	1.000	15.478563
950.000	1.000	15.041531
951.000	1.000	15.041531
952.000	1.000	15.248739
953.000	1.000	15.248739
954.000	1.000	15.248739
955.000	1.000	15.248739
956.000	1.000	15.406704
957.000	1.000	15.406704
958.000	1.000	15.405774
959.000	1.000	15.405774
960.000	1.000	15.405774
961.000	1.000	15.405774
962.000	1.000	15.405774
963.000	1.000	15.405774
964.000	1.000	15.405774
965.000	1.000	15.405774
966.000	1.000	15.405774
967.000	1.000	15.405774
968.000	1.000	15.405774
969.000	1.000	15.405774
970.000	1.000	15.405774
971.000	1.000	15.405774
972.000	1.000	15.222979
973.000	1.000	15.222979
974.000	1.000	15.222979
975.000	1.000	15.222979
976.000	1.000	14.959896
977.000	1.000	15.350175
978.000	1.000	15.209413
979.000	1.000	15.209413
980.000	1.000	15.209413
981.000	1.000	15.209413
982.000	1.000	15.209413
983.000	1.000	15.209413
984.000	1.000	15.209413
985.000	1.000	15.343595
986.000	1.000	15.343595
987.000	1.000	15.343595
988.000	1.000	15.343595
989.000	1.000	15.343595
990.000	1.000	14.815140
991.000	1.000	14.815140
992.000	1.000	15.334058
993.000	1.000	15.334058
994.000	1.000	14.940966
995.000	1.000	14.940966
996.000	1.000	14.940966
997.000	1.000	15.322363
998.000	1.000	14.872753
999.000	1.000	15.312660
1000.000	1.000	15.312660
1001.000	1.000	15.243793
1002.000	1.000	15.086472
1003.000	1.000	15.307152
1004.000	1.000	15.307152
1005.000	1.000	15.307152
1006.000	1.000	15.307152
1007.000	1.000	15.307152
1008.000	1.000	15.307152
1009.000	1.000	15.307152
1010.000	1.000	15.307152
